,Raw_Mean Normalized_ROC_AUC,Raw_Mean Normalized_Accuracy,Raw_Mean Normalized_F1,Raw_Mean Normalized_CE,Raw_Mean Normalized_ECE,Raw_Mean_ROC_AUC,Raw_Mean_Accuracy,Raw_Mean_F1,Raw_Mean_CE,Raw_Mean_ECE,Raw_Wins_ROC_AUC,Raw_Wins_Accuracy,Raw_Wins_F1,Raw_Wins_CE,Raw_Wins_ECE,Raw_Mean_Time (s),Processed_Mean Normalized_ROC_AUC,Processed_Mean Normalized_Accuracy,Processed_Mean Normalized_F1,Processed_Mean Normalized_CE,Processed_Mean Normalized_ECE,Processed_Mean_ROC_AUC,Processed_Mean_Accuracy,Processed_Mean_F1,Processed_Mean_CE,Processed_Mean_ECE,Processed_Wins_ROC_AUC,Processed_Wins_Accuracy,Processed_Wins_F1,Processed_Wins_CE,Processed_Wins_ECE,Processed_Mean_Time (s)
AutoGluon,0.9933920704845814,0.9590163934426229,0.937950937950938,0.9119862132163731,0.7747718441471664,0.9148073022312373,0.8478260869565217,0.7878787878787878,0.3665607695628321,0.5281754265002825,0,0,0,0,0,8.158024549484253,0.9914509037616024,0.9590163934426229,0.941611234294161,0.8997488563303626,1.0,0.9148073022312373,0.8478260869565217,0.7878787878787878,0.3665607695628321,0.5281754265002825,0,0,0,0,1,10.189965009689331
AutoTabPFN,1.0,0.9836065573770492,0.9718172983479106,1.0,0.7287388379142901,0.9208924949290062,0.8695652173913043,0.8163265306122449,0.3342983681472868,0.5615392345412081,1,0,0,1,0,183.97432613372803,1.0,0.9918032786885246,0.9939628109152377,1.0,0.975974101163345,0.9226955149876042,0.8768115942028986,0.8316831683168316,0.3298126331897358,0.5411777073497197,1,0,0,1,0,183.2995102405548
CatBoost,0.9914341654429759,0.9672131147540983,0.9523809523809524,0.9166518923200984,0.7319533333768385,0.9130042821726392,0.855072463768116,0.8,0.3646950068484106,0.5590731410907581,0,0,0,0,0,1.315140962600708,0.9894968246213972,0.9672131147540983,0.9560975609756097,0.9042170600599693,0.9447008739999827,0.9130042821726392,0.855072463768116,0.8,0.3647494033875694,0.5590927679191415,0,0,0,0,0,1.4744913578033447
LightGBM,0.9752814488497308,0.9754098360655737,0.970873786407767,0.669036673048437,0.7001379011474216,0.8981293666892045,0.8623188405797102,0.8155339805825242,0.4996712162639316,0.5844783556956378,0,0,0,0,0,0.04446125030517578,0.971665852467025,0.9754098360655737,0.9702970297029703,0.6452509819243435,0.909403613525291,0.896551724137931,0.8623188405797102,0.8118811881188119,0.5111385219533177,0.5807931908834378,0,0,0,0,0,0.055068016052246094
LogisticRegression,0.9787077826725403,1.0,1.0,0.9139364504433528,0.7418978651182854,0.9012846517917512,0.8840579710144928,0.84,0.3657785702552052,0.5515792246653739,0,1,1,0,0,3.906858205795288,0.9767953102100636,0.9918032786885246,0.9898989898989898,0.8971636036858829,0.9654075056248974,0.9012846517917512,0.8768115942028986,0.8282828282828283,0.3676170453579954,0.5471010152944693,0,0,0,0,0,0.030823945999145508
MLP,0.8932941752325011,0.9180327868852459,0.8746355685131196,0.5130112944057226,0.7719255074735067,0.8226279017354068,0.8115942028985508,0.7346938775510204,0.6516393923345126,0.5301229785270241,0,0,0,0,0,0.76253342628479,0.9872984855886664,0.9344262295081966,0.9024390243902438,0.7572756666886782,0.9285483867313618,0.9109758846067162,0.8260869565217391,0.7551020408163265,0.43552519603845175,0.5688184202866844,0,0,0,0,0,0.83721923828125
RandomForest,0.9982868330885952,0.9918032786885246,0.9818360333824251,0.6512565737538971,0.7653551804940495,0.9193148523777328,0.8768115942028986,0.8247422680412371,0.5133128502954882,0.5346739130434638,0,0,0,0,0,0.3280632495880127,0.9958475818270641,1.0,1.0,0.642317313875018,0.9708719128476981,0.9188640973630832,0.8840579710144928,0.8367346938775511,0.5134730546184696,0.5440217391304202,0,1,1,0,0,0.3069422245025635
SVM,0.9123837493881547,0.901639344262295,0.8503401360544218,0.6894970503822511,1.0,0.8402073473067388,0.7971014492753623,0.7142857142857143,0.4848437973185741,0.40921544922284,0,0,0,0,1,0.05194234848022461,0.9991450903761602,0.9672131147540983,0.9512195121951219,0.9824930316820394,0.9680671828710645,0.9219066937119674,0.855072463768116,0.7959183673469388,0.33568953931926904,0.54559790461426,0,0,0,0,0,0.03311634063720703
TabPFN,0.9985315712187958,0.9918032786885246,0.9900990099009901,0.9573806049020832,0.734120880695516,0.9195402298850575,0.8768115942028986,0.8316831683168316,0.34918021781053044,0.5574224354375314,0,0,0,0,0,0.17792630195617676,0.9953590620420126,0.9918032786885246,0.9856675886346491,0.9353756094953772,0.9583467007415756,0.9184133423484335,0.8768115942028986,0.8247422680412371,0.3525991375461087,0.5511318879603556,0,0,0,0,0,1.9804801940917969
XGBoost,0.9823788546255506,0.9754098360655737,0.970873786407767,0.6519586787413251,0.6998526170859267,0.9046653144016228,0.8623188405797102,0.8155339805825242,0.5127600552732652,0.5847166092294503,0,0,0,0,0,0.042871952056884766,0.9804592085979483,0.9754098360655737,0.9746625621596021,0.6432104642276957,0.9033015620957325,0.9046653144016228,0.8623188405797102,0.8155339805825242,0.5127600552732652,0.5847166092294503,0,0,0,0,0,0.045308828353881836
